stopID,stopDate,stopTime,stopCity,stopZip,stopReason,stopReasonDesc,stopSearch,stopSearchDesc,stopOutcome,stopOutcomeDesc,stopContra,stopContraDesc,citationType,citationTypeDesc,driverAge,driverGender,driverRace,officer,officerAge,officerRace,officerGender,Location 1
65320,2011-01-09,9:50:00AM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,35,M,W,46,55,W,M,"NORTH ST
"
75058,2011-01-09,11:33:00PM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,38,M,W,50,22,W,M,"WALES ST
"
73185,2011-01-11,5:15:00AM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,47,M,W,6,49,W,M,"S MAIN ST
"
73311,2011-01-11,7:20:00PM,Rutland City,5701,V,Vehicle Equipment,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,26,M,W,39,24,W,M,"BAXTER ST
"
75098,2011-01-11,3:50:00PM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,55,M,W,44,28,W,M,"STRATTON RD
"
73312,2011-01-11,4:25:00PM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,32,M,W,46,55,W,M,"FOREST ST
"
73314,2011-01-11,4:50:00PM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,47,F,W,46,55,W,M,"FOREST ST
"
77232,2011-01-12,12:05:00AM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,W,Written Warning Issued,X,No Applicable/No Search,,,22,F,W,39,24,W,M,"S MAIN ST
"
73509,2011-02-11,6:15:00PM,Rutland City,5701,V,Vehicle Equipment,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,IV,Inspection Violation,22,M,W,39,24,W,M,"PARK ST
"
73511,2011-02-11,11:35:00AM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,21,F,W,46,55,W,M,"FOREST ST
"
73513,2011-02-11,11:50:00AM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,41,M,W,46,55,W,M,"FOREST ST
"
77406,2011-02-12,3:55:00AM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,36,M,W,6,49,W,M,"S MAIN ST
"
69594,2011-03-10,6:40:00PM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,,,,F,W,6,49,W,M,"N MAIN ST
"
69593,2011-03-10,7:33:00PM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,RV,Registration Violation,22,F,W,6,49,W,M,"MERCHANTS ROW
"
69601,2011-03-10,9:50:00PM,Rutland City,5701,V,Vehicle Equipment,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,RV,Registration Violation,39,M,W,6,49,W,M,"WEST ST
"
69424,2011-04-10,4:29:00AM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,51,F,W,36,38,W,M,"WEST ST
"
73800,2011-04-11,9:40:00AM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,62,M,W,16,55,W,M,"N MAIN ST
"
73801,2011-04-11,11:05:00AM,Rutland City,5701,M,Moving Violation,NS,No Search Conducted,T,Ticket / VCVC Issued,X,No Applicable/No Search,MV,Moving Violation,59,M,W,16,55,W,M,"N MAIN ST
"
